,content,label,token
10,在巴黎戴高乐机场2F航站楼转机去尼斯时，乘客挤满了登机口前的几乎每一寸地方。记者小心翼翼地询问身旁一对老年夫妇，“出行是否有安全方面的担心？”他们虽未直接回答，但表示“不会总是发生那种事情”，“希望不要发生”，而且，“计划好了的度假计划不会因为某些不确定的担心而被改变”。,1,在 巴黎 戴高乐 机场 NUM ENG 航站楼 转机 去 尼斯 时 乘客 挤满 了 登机口 前 的 几乎 每一寸 地方 记者 小心翼翼 地 询问 身旁 一对 老年夫妇 出行 是否 有 安全 方面 的 担心 他们 虽未 直接 回答 但 表示 不会 总是 发生 那种 事情 希望 不要 发生 而且 计划 好 了 的 度假 计划 不会 因为 某些 不 确定 的 担心 而 被 改变
11,在离尼斯不远的“法国最美小镇”穆然，记者独自各处转了半个多小时。穿行在起起伏伏曲里拐弯的狭窄小巷，目力所及经常见不到一个行人。偶一转角，与坐在门口石阶上玩儿手机的青年男子或出门倒垃圾的胡子拉碴的中年男人猛然对望，不免没来由地心头一紧。当然什么都没有发生。继续往前走，在稍宽的路边见到三三两两的人，或行走，或坐在饭馆门前休憩闲谈，小镇给人的静谧、祥和感观尤其显得浓郁和珍贵。,1,在 离 尼斯 不远 的 法国 最美 小镇 穆然 记者 独自 各处 转 了 半个 多 小时 穿行 在 起起伏伏 曲里拐弯 的 狭窄 小巷 目力 所 及 经常 见 不到 一个 行人 偶 一 转角 与 坐在 门口 石阶 上 玩儿 手机 的 青年 男子 或 出门 倒 垃圾 的 胡子拉碴 的 中年男人 猛然 对 望 不免 没来由 地 心头 一 紧 当然 什么 都 没有 发生 继续 往前走 在 稍宽 的 路边 见到 三三两两 的 人 或 行走 或 坐在 饭馆 门前 休憩 闲谈 小镇 给 人 的 静谧 祥和 感观 尤其 显得 浓郁 和 珍贵
12,在尼斯著名的“英国人散步大道”——一年前卡车撞击碾轧行人的惨剧就发生在这里，除了看见两位地方警察在大道上悠闲地执勤巡逻，其他并无异样。路上游人如织，也不乏“全副武装”的骑行者；路基下的天使湾里，有人戏水或玩舢板、划艇，有人躺在海边阳光下看书。有意无意之间，我们和陪同参观的尼斯旅游局官员都没有提及去年发生在这里的那个悲惨事件。,1,在 尼斯 著名 的 英国人 散步 大道 一年 前 卡车 撞击 碾轧 行人 的 惨剧 就 发生 在 这里 除了 看见 两位 地方 警察 在 大道 上 悠闲地 执勤 巡逻 其他 并 无 异样 路上 游人如织 也 不乏 全副武装 的 骑 行者 路基 下 的 天使 湾里 有人 戏水 或 玩 舢板 划艇 有人 躺 在 海边 阳光 下 看书 有意无意 之间 我们 和 陪同 参观 的 尼斯 旅游局 官员 都 没有 提及 去年 发生 在 这里 的 那个 悲惨 事件
13,不过，在与我们交谈时，尼斯市参议员、副市长玛丽·多米尼克·拉美勒（MarieDominiqueRamel）女士、尼斯市旅游局局长丹尼·扎农（DenisZanon）先生，都主动提起过许多与“安全”有关的话题。比如说，除了国家层面的安保措施之外，在尼斯市，现在共安装有多达1200个监控摄像头，警方人员在警署内就可以随时监测到什么地方发生了什么情况；再辅以重点区域、场所的24小时巡逻。之所以这样做，当然与欧洲和法国近年频发暴恐事件有关，但玛丽·多米尼克·拉美勒女士和丹尼·扎农先生都表示，这样做不仅是防范和处置大的突发安保事件，一旦出现盗抢偷摸这样的治安事件，或发现游客生病、受伤状况，警方都可以迅速、及时地前往出事地点处置救助。,1,不过 在 与 我们 交谈 时 尼斯 市 参议员 副 市长 玛丽 多米尼克 拉美 勒 ENG 女士 尼斯 市 旅游局 局长 丹尼 扎农 ENG 先生 都 主动 提起过 许多 与 安全 有关 的 话题 比如说 除了 国家 层面 的 安保 措施 之外 在 尼斯 市 现在 共 安装 有 多达 NUM 个 监控 摄像头 警方 人员 在 警署 内 就 可以 随时 监测 到 什么 地方 发生 了 什么 情况 再 辅以 重点 区域 场所 的 NUM 小时 巡逻 之所以 这样 做 当然 与 欧洲 和 法国 近年 频发 暴恐 事件 有关 但 玛丽 多米尼克 拉美 勒 女士 和 丹尼 扎农 先生 都 表示 这样 做 不仅 是 防范 和 处置 大 的 突发 安保 事件 一旦 出现 盗抢 偷摸 这样 的 治安 事件 或 发现 游客 生病 受伤 状况 警方 都 可以 迅速 及时 地 前往 出事地点 处置 救助
14,包括法国旅游局宣传总监弗兰克·帕亚赫（FranckPaillard）先生在内，记者在法国接触到的每一位官员和旅游从业者都不讳言，2015年11月的巴黎系列恐袭事件、2016年3月的布鲁塞尔恐袭事件，使欧洲尤其是法国“遭受重创”，受打击最大的正是法国旅游业。不过，法国旅游业很快就恢复了元气。据联合国世界旅游组织公布的数据，2016年法国仍然是全球接待游客最多的国家，全年共有8260万游客前往法国本土旅游，这个数据仅比2015年下降2%；另有40万游客前往法国海外省旅游。,1,包括 法国 旅游局 宣传 总监 弗兰克 帕亚赫 ENG 先生 在内 记者 在 法国 接触 到 的 每 一位 官员 和 旅游 从业者 都 不 讳言 NUM 年 NUM 月 的 巴黎 系列 恐袭 事件 NUM 年 NUM 月 的 布鲁塞尔 恐袭 事件 使 欧洲 尤其 是 法国 遭受 重创 受 打击 最大 的 正是 法国 旅游业 不过 法国 旅游业 很快 就 恢复 了 元气 据 联合国 世界旅游组织 公布 的 数据 NUM 年 法国 仍然 是 全球 接待 游客 最多 的 国家 全年 共有 NUM 万 游客 前往 法国 本土 旅游 这个 数据 仅 比 NUM 年 下降 NUM 另有 NUM 万 游客 前往 法国 海外 省 旅游
15,游客们这么快就重新燃起了赴法旅游的热情，法国丰富的历史、人文、自然景观的魅力，法国政府和各地方政府采取的相关安保措施，当然是最主要的两个因素。另一方面，人们的心理调适因素也很重要。,1,游客 们 这么 快 就 重新 燃起 了 赴法 旅游 的 热情 法国 丰富 的 历史 人文 自然景观 的 魅力 法国政府 和 各 地方 政府 采取 的 相关 安保 措施 当然 是 最 主要 的 两个 因素 另一方面 人们 的 心理 调适 因素 也 很 重要
16,某天午餐时，就安全话题，记者与五星级的“驿站与城堡酒店”卡蒂勒酒店（MasCandille）所有者、英国人马克·西尔弗（MarkSilver）先生有过一番攀谈。西尔弗先生说，他接手这家酒店后重张开业的日子，恰好是“9·11”事件发生之后第六天，按说他对安全问题应该特别敏感，但他似乎并没有刻意关注这一点，酒店经营状况好像也没有感受到“安全担忧”带来的影响。他认为，上世纪八九十年代，世界各地各种形式和规模的暴力袭击事件也并不少见，但因为当时信息传播速度不那么快，对社会人心造成的冲击也不像现在那么大。可是现在，全世界尤其是发达国家一旦发生什么事情，瞬间就世人尽知，恐慌心理也往往被迅速传播甚至放大。,1,某 天 午餐 时 就 安全 话题 记者 与 五星级 的 驿站 与 城堡 酒店 卡蒂 勒 酒店 ENG 所有者 英国人 马克西 尔 弗 ENG 先生 有过 一番 攀谈 西尔 弗 先生 说 他 接手 这家 酒店 后 重张 开业 的 日子 恰好 是 NUM NUM 事件 发生 之后 第六天 按说 他 对 安全 问题 应该 特别 敏感 但 他 似乎 并 没有 刻意 关注 这 一点 酒店 经营 状况 好像 也 没有 感受 到 安全 担忧 带来 的 影响 他 认为 上 世纪 八 九十年代 世界各地 各种 形式 和 规模 的 暴力 袭击 事件 也 并 不少 见 但 因为 当时 信息 传播速度 不 那么 快 对 社会 人心 造成 的 冲击 也 不 像 现在 那么 大 可是 现在 全世界 尤其 是 发达国家 一旦 发生 什么 事情 瞬间 就 世人 尽知 恐慌 心理 也 往往 被 迅速 传播 甚至 放大
17,马克·西尔弗先生认为，暴恐事件频发，肯定会形成一种集体意识，带来安全方面的心理影响甚至冲击；但从个体来说，除非危险就在身边眼前，否则该工作还是要工作，该生活还是要生活。所以，在他的酒店经营过程中，除了必须要考虑的消防安全、财物安全、饮食安全等，他并不会过多考虑别的安全因素。顶多，酒店有时候会适当地把不同文化宗教背景、不同生活习惯的人安排在不同区域，以免他们互相打扰。,1,马克西 尔 弗 先生 认为 暴恐 事件 频发 肯定 会 形成 一种 集体 意识 带来 安全 方面 的 心理 影响 甚至 冲击 但 从 个体 来说 除非 危险 就 在 身边 眼前 否则 该 工作 还是 要 工作 该 生活 还是 要 生活 所以 在 他 的 酒店 经营 过程 中 除了 必须 要 考虑 的 消防安全 财物 安全 饮食 安全 等 他 并 不会 过多 考虑 别的 安全 因素 顶多 酒店 有时候 会 适当 地 把 不同 文化 宗教 背景 不同 生活习惯 的 人 安排 在 不同 区域 以免 他们 互相 打扰
18,从东南部地中海沿岸的普罗旺斯-阿尔卑斯-蓝色海岸大区到巴黎，在法国为期一周的采访，中国记者一行所到之处，并未见到或听说发生过任何安全事件。在当地人、游客和环境的感染下，我们心里本来带着的一些安全担忧，几乎荡然无存。只是，非常巧合，在中国青年报·中青在线记者离开巴黎回国的第二天，香榭丽舍大街上发生了一起汽车撞击宪兵车辆的事件。在略感庆幸的同时，记者也想到：毕竟世界那么大、那么复杂，无论何时何地，发生一些偶然或必然的安全事件，不也是一种再正常不过的现象吗？诚如马克·西尔弗先生所言，无论发生什么，生活总要继续，工作总要继续，旅行也可以继续。,1,从 东南部 地中海 沿岸 的 普罗旺斯 阿尔卑斯 蓝色 海岸 大区 到 巴黎 在 法国 为期 一周 的 采访 中国 记者 一行 所到之处 并未 见到 或 听说 发生 过 任何 安全事件 在 当地人 游客 和 环境 的 感染 下 我们 心里 本来 带 着 的 一些 安全 担忧 几乎 荡然无存 只是 非常 巧合 在 中国青年报 中 青 在线 记者 离开 巴黎 回国 的 第二天 香榭丽舍大街 上 发生 了 一起 汽车 撞击 宪兵 车辆 的 事件 在 略 感 庆幸 的 同时 记者 也 想到 毕竟 世界 那么 大 那么 复杂 无论 何时何地 发生 一些 偶然 或 必然 的 安全事件 不 也 是 一种 再 正常 不过 的 现象 吗 诚如 马克西 尔 弗 先生 所 言 无论 发生 什么 生活 总 要 继续 工作 总 要 继续 旅行 也 可以 继续
19,中国青年报·中青在线记者高鑫诚来源：中国青年报（2017年08月14日05版）,1,中国青年报 中 青 在线 记者 高鑫诚 来源 中国青年报 NUM 年 NUM 月 NUM 日 NUM 版
20,10月18日，吉林省文化和旅游厅正式挂牌。吉林省委常委、宣传部部长王晓萍，副省长石玉钢出席揭牌仪式。吉林省文化和旅游厅是吉林省机构改革后，省内首家挂牌的省级新机构。,1,NUM 月 NUM 日 吉林省 文化 和 旅游 厅 正式 挂牌 吉林 省委常委 宣传部 部长 王晓萍 副省长 石玉钢 出席 揭牌 仪式 吉林省 文化 和 旅游 厅 是 吉林省 机构 改革 后 省内 首家 挂牌 的 省级 新 机构
21,党中央、国务院正式批复同意吉林省机构改革方案后，吉林省委、省政府高度重视、迅速部署，要求各地各部门进一步提高政治站位，快速行动，对标中央的改革要求，按照《吉林省机构改革方案》及实施意见，明确时间表、路线图、任务书，高标准、高质量推进和落实各项改革工作。强调要切实抓好干部配备、人员转隶、机构组建、“三定”规定制定等重点工作落实。同时要求新任职的政府机构主要负责同志要提高政治能力，坚定正确政治方向，牢固树立“四个意识”，把“两个坚决维护”落实到一切工作当中，更加自觉地在思想上政治上行动上与以习近平同志为核心的党中央保持高度一致。,1,党中央 国务院 正式 批复 同意 吉林省 机构 改革方案 后 吉林省 委 省政府 高度重视 迅速 部署 要求 各地 各 部门 进一步提高 政治 站位 快速 行动 对标 中央 的 改革 要求 按照 吉林省 机构 改革方案 及 实施 意见 明确 时间表 路线图 任务书 高标准 高质量 推进 和 落实 各项改革 工作 强调 要 切实 抓好 干部 配备 人员 转隶 机构 组建 三 定 规定 制定 等 重点 工作 落实 同时 要求 新 任职 的 政府 机构 主要 负责同志 要 提高 政治 能力 坚定 正确 政治 方向 牢固 树立 四个 意识 把 两个 坚决 维护 落实 到 一切 工作 当中 更加 自觉 地 在思想上 政治 上 行动 上 与 以 习近平 同志 为 核心 的 党中央 保持 高度一致
22,根据《吉林省机构改革方案》，将省文化厅、省旅游发展委员会的职责整合，组建省文化和旅游厅，作为省政府组成部门，加挂省文物局牌子。不再保留省文化厅、省旅游发展委员会。,1,根据 吉林省 机构 改革方案 将 省 文化厅 省 旅游 发展 委员会 的 职责 整合 组建 省 文化 和 旅游 厅 作为 省政府 组成 部门 加挂 省 文物局 牌子 不再 保留 省 文化厅 省 旅游 发展 委员会
23,另悉，在10月17日召开的吉林省十三届人大常委会第七次会议上，任命杨安娣为吉林省文化和旅游厅厅长。,1,另悉 在 NUM 月 NUM 日 召开 的 吉林省 十三届 人大常委会 第七次 会议 上 任命 杨安娣 为 吉林省 文化 和 旅游 厅 厅长
24,10月20日，中国最北的漠河北极圣诞滑雪场举行了2018年初冬首滑式，首滑时间比去年提前了3天，再次刷新了全国室外滑雪场首滑记录。同时，也标志着中国北疆已经进入了冰雪旅游季。,1,NUM 月 NUM 日 中国 最北 的 漠河 北极 圣诞 滑雪场 举行 了 NUM 年 初冬 首滑式 首滑 时间 比 去年 提前 了 NUM 天 再次 刷新 了 全国 室外 滑雪场 首滑 记录 同时 也 标志 着 中国 北疆 已经 进入 了 冰雪 旅游 季
25,漠河是中国北极，也是每年最早进入冬季的地区。漠河北极圣诞滑雪场位于中国纬度最高地区，冬季寒冷多雪，滑雪期长达七个月之久，堪称全国之最。自北京成功申办冬奥会以来，民众对于冰雪运动的热情持续高涨，冰雪旅游和冰雪运动消费增长势头迅猛，而拥有“最早”冰雪优势的黑龙江漠河地区也在服务方面做足文章。,1,漠河 是 中国 北极 也 是 每年 最早 进入 冬季 的 地区 漠河 北极 圣诞 滑雪场 位于 中国 纬度 最高 地区 冬季 寒冷 多雪 滑雪 期长 达 七个 月 之久 堪称 全国 之 最 自 北京 成功 申办 冬奥会 以来 民众 对于 冰雪 运动 的 热情 持续 高涨 冰雪 旅游 和 冰雪 运动 消费 增长势头 迅猛 而 拥有 最早 冰雪 优势 的 黑龙江 漠河 地区 也 在 服务 方面 做足 文章
26,为切实游客提供安全舒适的旅游环境，北极村旅游景区扩建了滑雪场游客服务大厅，全面提升了接待能力。随着漠河圣诞滑雪场的开门迎客，北极圣诞雪雕园、北极冰雪游乐园、北极冰雪大观园等旅游景点也将陆续开园，让游客乐享冰天雪地，不枉北极之行。,1,为 切实 游客 提供 安全 舒适 的 旅游 环境 北极村 旅游 景区 扩建 了 滑雪场 游客 服务 大厅 全面 提升 了 接待 能力 随着 漠河 圣诞 滑雪场 的 开门 迎客 北极 圣诞 雪雕 园 北极 冰雪 游乐园 北极 冰雪 大观园 等 旅游景点 也 将 陆续 开园 让 游客 乐享 冰天雪地 不 枉 北极 之 行
27,首滑式上，来自全国各地的游客在北极漠河体验了滑雪、雪地拔河、雪地足球等冰雪活动，感受着北极漠河独特的冰雪魅力。据了解，今年漠河市委、市政府将不断加大冬季冰雪旅游开发力度，扩大冰雪旅游发展规模，丰富特色冰雪旅游产品，发挥漠河降雪早、雪期长的优势，在提升冰雪产品档次的同时，也通过冰上捕鱼、冰雪爬犁、冰上保龄球、雪地足球等活动，进一步提升冰雪旅游产品的知名度和影响力，从而拉动北极漠河旅游产业从夏季避暑养生向冬季赏冰玩雪的均衡发展。,1,首滑式 上 来自 全国 各地 的 游客 在 北极 漠河 体验 了 滑雪 雪地 拔河 雪地 足球 等 冰雪 活动 感受 着 北极 漠河 独特 的 冰雪 魅力 据 了解 今年 漠河 市委 市政府 将 不断 加大 冬季 冰雪 旅游 开发 力度 扩大 冰雪 旅游 发展 规模 丰富 特色 冰雪 旅游 产品 发挥 漠河 降雪 早雪期 长 的 优势 在 提升 冰雪 产品 档次 的 同时 也 通过 冰上 捕鱼 冰雪 爬犁 冰上 保龄球 雪地 足球 等 活动 进一步 提升 冰雪 旅游 产品 的 知名度 和 影响力 从而 拉动 北极 漠河 旅游 产业 从 夏季 避暑 养生 向 冬季 赏冰玩雪 的 均衡 发展
28,从产品到产业要经过两种发展变化：一是横向聚集，二是纵向延伸。产业是企业的集合，从文化旅游资源到文化旅游产业，既要有一大批开发文化旅游产品的企业，也需要一大批与之配套和由其衍生的上下游企业。横向看是同类产业的不断聚集，纵向看是同一产业链条的不断延伸。,1,从 产品 到 产业 要 经过 两种 发展 变化 一是 横向 聚集 二是 纵向 延伸 产业 是 企业 的 集合 从 文化 旅游 资源 到 文化 旅游 产业 既要 有 一大批 开发 文化 旅游 产品 的 企业 也 需要 一大批 与 之 配套 和 由 其 衍生 的 上下游 企业 横向 看 是 同类 产业 的 不断 聚集 纵向 看 是 同一 产业链 条 的 不断 延伸
29,政府和市场是文化旅游产业化发展的两只推手,1,政府 和 市场 是 文化 旅游 产业化 发展 的 两只 推手
30,政府推动文化旅游产业化发展有两大核心任务，分别是制定政策和规范市场。制定政策包括区域发展的政策、产业发展的政策、市场监管的政策以及宣传推广的政策。,1,政府 推动 文化 旅游 产业化 发展 有 两大 核心 任务 分别 是 制定 政策 和 规范市场 制定 政策 包括 区域 发展 的 政策 产业 发展 的 政策 市场监管 的 政策 以及 宣传 推广 的 政策
31,规范市场包括激励合规企业、处罚违规企业、扶持弱小企业、保障竞争秩序。,1,规范市场 包括 激励 合规 企业 处罚 违规 企业 扶持 弱小 企业 保障 竞争 秩序
32,政府推动文化旅游产业化发展有6个工作抓手，分别是抓旅游交通，实现从目标市场到目的地间的快捷通道；抓精准宣传，打通旅游产品和游客之间的信息通道；抓服务短板，消除游客旅游消费中的不满意；抓重点项目，确保投资政策和配套建设落地见效；抓典型扶持，对特色和品牌给予正向激励与保护；抓要素供给，解决土地、人才、信贷等方面的制约。,1,政府 推动 文化 旅游 产业化 发展 有 NUM 个 工作 抓手 分别 是 抓 旅游 交通 实现 从 目标 市场 到 目的地 间 的 快捷 通道 抓 精准 宣传 打通 旅游 产品 和 游客 之间 的 信息 通道 抓 服务 短板 消除 游客 旅游 消费 中 的 不 满意 抓 重点项目 确保 投资 政策 和 配套 建设 落地 见效 抓 典型 扶持 对 特色 和 品牌 给予 正向 激励 与 保护 抓 要素 供给 解决 土地 人才 信贷 等 方面 的 制约
33,文化旅游产业化发展的四个重点领域,1,文化 旅游 产业化 发展 的 四个 重点 领域
34,推动文化旅游产业化发展，要把注意力放在核心吸引力构建、目的地公共服务、主体项目和企业培育、重点客源市场开发四个领域上，加强规划设计，确保科学发展。,1,推动 文化 旅游 产业化 发展 要 把 注意力 放在 核心 吸引力 构建 目的地 公共服务 主体 项目 和 企业 培育 重点 客源 市场 开发 四个 领域 上 加强 规划设计 确保 科学 发展
35,在目的地主体吸引力构建方面，要紧紧围绕当地优势文化旅游资源，把握差异化发展原则，研判当前及未来市场，综合确定规划目标和方向定位，推进核心产品体系建设，形成特色节庆、特色产品、特色街区城镇等与主体吸引力呼应的配套延伸。,1,在 目的地 主体 吸引力 构建 方面 要 紧紧围绕 当地 优势 文化 旅游 资源 把握 差异化 发展 原则 研判 当前 及 未来 市场 综合 确定 规划 目标 和 方向 定位 推进 核心 产品 体系 建设 形成 特色 节庆 特色 产品 特色 街区 城镇 等 与 主体 吸引力 呼应 的 配套 延伸
36,在目的地公共服务方面，要落实主导机制和责任分工，建立游客和市民都可参与的满意度评价与反馈制度，保障公共资金投入和急需人才的引进，保障市场竞争秩序和旅游安全。,1,在 目的地 公共服务 方面 要 落实 主导 机制 和 责任 分工 建立 游客 和 市民 都 可 参与 的 满意度 评价 与 反馈 制度 保障 公共 资金投入 和 急需 人才 的 引进 保障 市场竞争 秩序 和 旅游 安全
37,在核心企业和项目培育方面，要落实优奖政策，重视品牌引导，鼓励企业不断创新产品和服务。,1,在 核心 企业 和 项目 培育 方面 要 落实 优奖 政策 重视 品牌 引导 鼓励 企业 不断创新 产品 和 服务
38,在重点客源市场开发方面，要加强精准营销和口碑传播，重视新媒体信息平台的维护和利用，深耕细作小众市场，形成良性互动。,1,在 重点 客源 市场 开发 方面 要 加强 精准 营销 和 口碑 传播 重视 新 媒体 信息 平台 的 维护 和 利用 深耕细作 小 众 市场 形成 良性 互动
39,福建省在规划与引导全省文化旅游产业过程中，发挥市场优势的同时，注意做好政府顶层设计，收到良好效果。如《福建省文化旅游业发展规划》提出六项主要任务，一是打造特色多元文化旅游产品。充分挖掘闽南文化、客家文化、妈祖文化、红色文化、畲族文化等福建特色文化的内涵。二是加快文化旅游精品建设。重点建设完善武夷山“双世遗”、福建土楼、厦门鼓浪屿、福州三坊七巷、泉州“海上丝绸之路”等特色文化旅游产品。三是构建八大片区。四是推广四大文化旅游精品线路。五是加大宣传推广力度。整合政府营销资源，将文化宣传、旅游形象宣传、经贸宣传等有机结合，形成海西文化旅游品牌形象。六是加强对台文化旅游交流。打响妈祖文化品牌，办好闽台民俗节庆，鼓励台商投资建设文化旅游项目。,1,福建省 在 规划 与 引导 全省 文化 旅游 产业 过程 中 发挥 市场 优势 的 同时 注意 做好 政府 顶层 设计 收到 良好效果 如 福建省 文化 旅游业 发展 规划 提出 六项 主要 任务 一是 打造 特色 多元 文化 旅游 产品 充分 挖掘 闽南 文化 客家 文化 妈祖 文化 红色 文化 畲族 文化 等 福建 特色 文化 的 内涵 二是 加快 文化 旅游 精品 建设 重点 建设 完善 武夷山 双世遗 福建 土楼 厦门 鼓浪屿 福州 三坊七巷 泉州 海上 丝绸之路 等 特色 文化 旅游 产品 三是 构建 八大 片区 四是 推广 四大 文化 旅游 精品 线路 五是 加大 宣传 推广 力度 整合 政府 营销 资源 将 文化 宣传 旅游 形象 宣传 经贸 宣传 等 有机 结合 形成 海西 文化 旅游 品牌形象 六是 加强 对台 文化 旅游 交流 打响 妈祖 文化 品牌 办好 闽台 民俗 节庆 鼓励 台商 投资 建设 文化 旅游 项目
40,文化旅游产业化发展正面牵引目的地产业结构调整,1,文化 旅游 产业化 发展 正面 牵引 目的地 产业 结构调整
41,在文化旅游产品横向集聚方面，近年来各地已经出现不少积极探索，如北京、上海、成都、杭州、福州等地，以城市旧街区改造为契机，打造文化旅游休闲街区，效果显著。有的地方改造旧工厂、工地为文创区、艺术园区，有些地方出现了集中连片的乡村文化休闲区，还有的地方出现了主题公园聚集区等，至于文化旅游综合体项目，也已遍地开花，其中不乏有水准和内涵的项目。,1,在 文化 旅游 产品 横向 集聚 方面 近年来 各地 已经 出现 不少 积极探索 如 北京 上海 成都 杭州 福州 等 地 以 城市 旧 街区 改造 为 契机 打造 文化 旅游 休闲 街区 效果显著 有 的 地方 改造 旧 工厂 工地 为文 创区 艺术 园区 有些 地方 出现 了 集中 连片 的 乡村 文化 休闲 区 还有 的 地方 出现 了 主题公园 聚集区 等 至于 文化 旅游 综合体 项目 也 已 遍地开花 其中 不乏 有 水准 和 内涵 的 项目
